MeasureName,UsageType,MonthYear,M_Value,TransType
value_m,Cash withdrawal,JUL 2017,4790.0,Foreign-TH
value_m,Cash advance,JUL 2017,5826.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,JUL 2017,16200.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,JUL 2017,2076.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,JUL 2017,2697.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,JUL 2017,235.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,JUL 2017,2007.0,Foreign-TH
volume_k,Cash withdrawal,AUG 2017,864.0,Foreign-TH
volume_k,Cash advance,AUG 2017,818.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,AUG 2017,2831.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,AUG 2017,325.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,AUG 2017,683.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,AUG 2017,44.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,AUG 2017,1341.0,Foreign-TH
value_m,Cash withdrawal,AUG 2017,4760.0,Foreign-TH
value_m,Cash advance,AUG 2017,6368.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,AUG 2017,16121.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,AUG 2017,2013.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,AUG 2017,2924.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,AUG 2017,218.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,AUG 2017,2570.0,Foreign-TH
volume_k,Cash withdrawal,SEP 2017,776.0,Foreign-TH
volume_k,Cash advance,SEP 2017,691.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,SEP 2017,2466.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,SEP 2017,308.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,SEP 2017,651.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,SEP 2017,49.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,SEP 2017,1437.0,Foreign-TH
value_m,Cash withdrawal,SEP 2017,4248.0,Foreign-TH
value_m,Cash advance,SEP 2017,5168.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,SEP 2017,13778.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,SEP 2017,2051.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,SEP 2017,2664.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,SEP 2017,248.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,SEP 2017,3089.0,Foreign-TH
volume_k,Cash withdrawal,OCT 2017,779.0,Foreign-TH
volume_k,Cash advance,OCT 2017,734.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,OCT 2017,2665.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,OCT 2017,325.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,OCT 2017,732.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,OCT 2017,41.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,OCT 2017,1822.0,Foreign-TH
value_m,Cash withdrawal,OCT 2017,4309.0,Foreign-TH
value_m,Cash advance,OCT 2017,5443.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,OCT 2017,15023.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,OCT 2017,2143.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,OCT 2017,3190.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,OCT 2017,226.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,OCT 2017,4150.0,Foreign-TH
volume_k,Cash withdrawal,NOV 2017,804.0,Foreign-TH
volume_k,Cash advance,NOV 2017,842.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,NOV 2017,3026.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,NOV 2017,372.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,NOV 2017,830.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,NOV 2017,49.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,NOV 2017,1490.0,Foreign-TH
value_m,Cash withdrawal,NOV 2017,4701.0,Foreign-TH
value_m,Cash advance,NOV 2017,6476.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,NOV 2017,17771.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,NOV 2017,2334.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,NOV 2017,3347.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,NOV 2017,249.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,NOV 2017,3010.0,Foreign-TH
volume_k,Cash withdrawal,DEC 2017,1006.0,Foreign-TH
volume_k,Cash advance,DEC 2017,975.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,DEC 2017,3402.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,DEC 2017,383.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,DEC 2017,916.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,DEC 2017,50.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,DEC 2017,1415.0,Foreign-TH
value_m,Cash withdrawal,DEC 2017,6507.0,Foreign-TH
value_m,Cash advance,DEC 2017,8141.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,DEC 2017,20328.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,DEC 2017,2200.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,DEC 2017,3696.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,DEC 2017,235.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,DEC 2017,2670.0,Foreign-TH
volume_k,Cash withdrawal,JAN 2018,959.0,Foreign-TH
volume_k,Cash advance,JAN 2018,1040.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,JAN 2018,3846.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,JAN 2018,445.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,JAN 2018,1196.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,JAN 2018,59.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,JAN 2018,1842.0,Foreign-TH
value_m,Cash withdrawal,JAN 2018,6133.0,Foreign-TH
value_m,Cash advance,JAN 2018,8841.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,JAN 2018,22839.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,JAN 2018,2744.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,JAN 2018,4821.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,JAN 2018,293.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,JAN 2018,3640.0,Foreign-TH
volume_k,Cash withdrawal,FEB 2018,837.0,Foreign-TH
volume_k,Cash advance,FEB 2018,938.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,FEB 2018,3456.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,FEB 2018,377.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,FEB 2018,1165.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,FEB 2018,49.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,FEB 2018,2745.0,Foreign-TH
value_m,Cash withdrawal,FEB 2018,5234.0,Foreign-TH
value_m,Cash advance,FEB 2018,7808.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,FEB 2018,20428.0,Foreign-TH
