BankType,ChannelType,MonthYear,M_Value,MeasureName,TransType
Bank,Others,AUG 2011,1241.84,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,AUG 2011,1074.65,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,AUG 2011,8823.36,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,AUG 2011,12078.69,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,AUG 2011,41.05,volume_k,e-Payments (Royal Decree)
Non-bank,Others,AUG 2011,761.81,volume_k,e-Payments (Royal Decree)
Bank,Counter,SEP 2011,864.62,volume_k,e-Payments (Royal Decree)
Bank,ATM,SEP 2011,28981.13,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,SEP 2011,17900.88,volume_k,e-Payments (Royal Decree)
Bank,Internet,SEP 2011,7601.82,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,SEP 2011,1820.45,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,SEP 2011,862.34,volume_k,e-Payments (Royal Decree)
Bank,Telephone,SEP 2011,206.87,volume_k,e-Payments (Royal Decree)
Bank,Others,SEP 2011,1260.96,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,SEP 2011,1027.4,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,SEP 2011,8210.2,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,SEP 2011,12036.1,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,SEP 2011,40.62,volume_k,e-Payments (Royal Decree)
Non-bank,Others,SEP 2011,765.21,volume_k,e-Payments (Royal Decree)
Bank,Counter,OCT 2011,838.68,volume_k,e-Payments (Royal Decree)
Bank,ATM,OCT 2011,27950.05,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,OCT 2011,18328.2,volume_k,e-Payments (Royal Decree)
Bank,Internet,OCT 2011,7538.21,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,OCT 2011,1825.16,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,OCT 2011,796.63,volume_k,e-Payments (Royal Decree)
Bank,Telephone,OCT 2011,279.01,volume_k,e-Payments (Royal Decree)
Bank,Others,OCT 2011,945.41,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,OCT 2011,865.36,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,OCT 2011,8437.56,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,OCT 2011,12598.29,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,OCT 2011,46.81,volume_k,e-Payments (Royal Decree)
Non-bank,Others,OCT 2011,815.58,volume_k,e-Payments (Royal Decree)
Bank,Counter,NOV 2011,849.01,volume_k,e-Payments (Royal Decree)
Bank,ATM,NOV 2011,25932.9,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,NOV 2011,16207.45,volume_k,e-Payments (Royal Decree)
Bank,Internet,NOV 2011,7134.25,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,NOV 2011,1721.46,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,NOV 2011,770.54,volume_k,e-Payments (Royal Decree)
Bank,Telephone,NOV 2011,257.66,volume_k,e-Payments (Royal Decree)
Bank,Others,NOV 2011,898.08,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,NOV 2011,783.88,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,NOV 2011,7177.06,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,NOV 2011,10836.61,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,NOV 2011,54.19,volume_k,e-Payments (Royal Decree)
Non-bank,Others,NOV 2011,1066.08,volume_k,e-Payments (Royal Decree)
Bank,Counter,DEC 2011,864.56,volume_k,e-Payments (Royal Decree)
Bank,ATM,DEC 2011,29873.42,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,DEC 2011,19826.55,volume_k,e-Payments (Royal Decree)
Bank,Internet,DEC 2011,8128.81,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,DEC 2011,1882.75,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,DEC 2011,877.52,volume_k,e-Payments (Royal Decree)
Bank,Telephone,DEC 2011,272.06,volume_k,e-Payments (Royal Decree)
Bank,Others,DEC 2011,1127.97,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,DEC 2011,813.37,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,DEC 2011,9089.17,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,DEC 2011,12097.04,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,DEC 2011,66.42,volume_k,e-Payments (Royal Decree)
Non-bank,Others,DEC 2011,772.53,volume_k,e-Payments (Royal Decree)
Bank,Counter,JAN 2012,842.1,volume_k,e-Payments (Royal Decree)
Bank,ATM,JAN 2012,26776.17,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,JAN 2012,20033.61,volume_k,e-Payments (Royal Decree)
Bank,Internet,JAN 2012,9247.15,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,JAN 2012,2319.64,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,JAN 2012,803.24,volume_k,e-Payments (Royal Decree)
Bank,Telephone,JAN 2012,269.14,volume_k,e-Payments (Royal Decree)
Bank,Others,JAN 2012,2.28,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,JAN 2012,772.41,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,JAN 2012,8691.74,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,JAN 2012,12112.12,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,JAN 2012,75.71,volume_k,e-Payments (Royal Decree)
Non-bank,Others,JAN 2012,764.92,volume_k,e-Payments (Royal Decree)
Bank,Counter,FEB 2012,860.61,volume_k,e-Payments (Royal Decree)
Bank,ATM,FEB 2012,30663.69,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,FEB 2012,18703.27,volume_k,e-Payments (Royal Decree)
Bank,Internet,FEB 2012,9711.53,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,FEB 2012,2438.5,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,FEB 2012,828.13,volume_k,e-Payments (Royal Decree)
Bank,Telephone,FEB 2012,260.07,volume_k,e-Payments (Royal Decree)
Bank,Others,FEB 2012,2.27,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,FEB 2012,884.99,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,FEB 2012,7761.76,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,FEB 2012,11480.14,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,FEB 2012,78.87,volume_k,e-Payments (Royal Decree)
