MeasureName,BankType,MonthYear,M_Value,TransType
Spending_Value,Bank,OCT 2013,170.35,e-Money
Spending_Value,Non-bank,OCT 2013,4625.85,e-Money
Cards_Account,Bank,NOV 2013,1.7,e-Money
Cards_Account,Non-bank,NOV 2013,22.33,e-Money
Topup_Value,Bank,NOV 2013,168.52,e-Money
Topup_Value,Non-bank,NOV 2013,4341.71,e-Money
Spending_Value,Bank,NOV 2013,163.85,e-Money
Spending_Value,Non-bank,NOV 2013,4358.69,e-Money
Cards_Account,Bank,DEC 2013,1.68,e-Money
Cards_Account,Non-bank,DEC 2013,22.62,e-Money
Topup_Value,Bank,DEC 2013,203.03,e-Money
Topup_Value,Non-bank,DEC 2013,4108.02,e-Money
Spending_Value,Bank,DEC 2013,196.42,e-Money
Spending_Value,Non-bank,DEC 2013,4087.34,e-Money
Cards_Account,Bank,JAN 2014,1.65,e-Money
Cards_Account,Non-bank,JAN 2014,22.85,e-Money
Topup_Value,Bank,JAN 2014,207.06,e-Money
Topup_Value,Non-bank,JAN 2014,4136.84,e-Money
Spending_Value,Bank,JAN 2014,212.71,e-Money
Spending_Value,Non-bank,JAN 2014,4086.31,e-Money
Cards_Account,Bank,FEB 2014,1.62,e-Money
Cards_Account,Non-bank,FEB 2014,23.1,e-Money
Topup_Value,Bank,FEB 2014,169.75,e-Money
Topup_Value,Non-bank,FEB 2014,3774.19,e-Money
Spending_Value,Bank,FEB 2014,208.05,e-Money
Spending_Value,Non-bank,FEB 2014,3767.12,e-Money
Cards_Account,Bank,MAR 2014,1.65,e-Money
Cards_Account,Non-bank,MAR 2014,23.41,e-Money
Topup_Value,Bank,MAR 2014,207.63,e-Money
Topup_Value,Non-bank,MAR 2014,4345.89,e-Money
Spending_Value,Bank,MAR 2014,225.26,e-Money
Spending_Value,Non-bank,MAR 2014,4385.1,e-Money
Cards_Account,Bank,APR 2014,1.66,e-Money
Cards_Account,Non-bank,APR 2014,23.67,e-Money
Topup_Value,Bank,APR 2014,203.55,e-Money
Topup_Value,Non-bank,APR 2014,4223.23,e-Money
Spending_Value,Bank,APR 2014,191.06,e-Money
Spending_Value,Non-bank,APR 2014,4168.87,e-Money
Cards_Account,Bank,MAY 2014,1.69,e-Money
Cards_Account,Non-bank,MAY 2014,23.91,e-Money
Topup_Value,Bank,MAY 2014,178.57,e-Money
Topup_Value,Non-bank,MAY 2014,4341.3,e-Money
Spending_Value,Bank,MAY 2014,184.87,e-Money
Spending_Value,Non-bank,MAY 2014,4326.93,e-Money
Cards_Account,Bank,JUN 2014,1.71,e-Money
Cards_Account,Non-bank,JUN 2014,24.32,e-Money
Topup_Value,Bank,JUN 2014,196.66,e-Money
Topup_Value,Non-bank,JUN 2014,4576.46,e-Money
Spending_Value,Bank,JUN 2014,177.75,e-Money
Spending_Value,Non-bank,JUN 2014,4587.86,e-Money
Cards_Account,Bank,JUL 2014,1.65,e-Money
Cards_Account,Non-bank,JUL 2014,24.73,e-Money
Topup_Value,Bank,JUL 2014,205.43,e-Money
Topup_Value,Non-bank,JUL 2014,4733.37,e-Money
Spending_Value,Bank,JUL 2014,230.54,e-Money
Spending_Value,Non-bank,JUL 2014,4709.33,e-Money
Cards_Account,Bank,AUG 2014,1.65,e-Money
Cards_Account,Non-bank,AUG 2014,24.94,e-Money
Topup_Value,Bank,AUG 2014,195.06,e-Money
Topup_Value,Non-bank,AUG 2014,4875.09,e-Money
Spending_Value,Bank,AUG 2014,219.08,e-Money
Spending_Value,Non-bank,AUG 2014,4845.23,e-Money
Cards_Account,Bank,SEP 2014,1.66,e-Money
Cards_Account,Non-bank,SEP 2014,25.09,e-Money
Topup_Value,Bank,SEP 2014,212.55,e-Money
Topup_Value,Non-bank,SEP 2014,4431.33,e-Money
Spending_Value,Bank,SEP 2014,205.13,e-Money
Spending_Value,Non-bank,SEP 2014,4461.45,e-Money
Cards_Account,Bank,OCT 2014,1.62,e-Money
Cards_Account,Non-bank,OCT 2014,25.18,e-Money
Topup_Value,Bank,OCT 2014,218.18,e-Money
Topup_Value,Non-bank,OCT 2014,4751.09,e-Money
Spending_Value,Bank,OCT 2014,229.88,e-Money
Spending_Value,Non-bank,OCT 2014,4683.75,e-Money
Cards_Account,Bank,NOV 2014,1.68,e-Money
Cards_Account,Non-bank,NOV 2014,25.17,e-Money
Topup_Value,Bank,NOV 2014,233.17,e-Money
Topup_Value,Non-bank,NOV 2014,4381.5,e-Money
Spending_Value,Bank,NOV 2014,207.37,e-Money
Spending_Value,Non-bank,NOV 2014,4413.64,e-Money
Cards_Account,Bank,DEC 2014,1.46,e-Money
Cards_Account,Non-bank,DEC 2014,25.4,e-Money
Topup_Value,Bank,DEC 2014,228.07,e-Money
Topup_Value,Non-bank,DEC 2014,4993.97,e-Money
Spending_Value,Bank,DEC 2014,258.03,e-Money
Spending_Value,Non-bank,DEC 2014,4831.45,e-Money
Cards_Account,Bank,JAN 2015,1.53,e-Money
Cards_Account,Non-bank,JAN 2015,25.4,e-Money
Topup_Value,Bank,JAN 2015,271.2,e-Money
Topup_Value,Non-bank,JAN 2015,4469.84,e-Money
Spending_Value,Bank,JAN 2015,247.97,e-Money
Spending_Value,Non-bank,JAN 2015,4548.99,e-Money
Cards_Account,Bank,FEB 2015,1.56,e-Money
Cards_Account,Non-bank,FEB 2015,25.43,e-Money
Topup_Value,Bank,FEB 2015,310.45,e-Money
Topup_Value,Non-bank,FEB 2015,4167.05,e-Money
Spending_Value,Bank,FEB 2015,288.78,e-Money
Spending_Value,Non-bank,FEB 2015,4177.96,e-Money
Cards_Account,Bank,MAR 2015,1.58,e-Money
Cards_Account,Non-bank,MAR 2015,25.56,e-Money
Topup_Value,Bank,MAR 2015,273.9,e-Money
Topup_Value,Non-bank,MAR 2015,5376.72,e-Money
Spending_Value,Bank,MAR 2015,283.28,e-Money
Spending_Value,Non-bank,MAR 2015,5327.72,e-Money
Cards_Account,Bank,APR 2015,1.53,e-Money
Cards_Account,Non-bank,APR 2015,25.93,e-Money
Topup_Value,Bank,APR 2015,326.62,e-Money
Topup_Value,Non-bank,APR 2015,5366.88,e-Money
Spending_Value,Bank,APR 2015,286.92,e-Money
Spending_Value,Non-bank,APR 2015,5217.37,e-Money
Cards_Account,Bank,MAY 2015,1.59,e-Money
Cards_Account,Non-bank,MAY 2015,26.2,e-Money
Topup_Value,Bank,MAY 2015,305.51,e-Money
Topup_Value,Non-bank,MAY 2015,4859.06,e-Money
Spending_Value,Bank,MAY 2015,337.51,e-Money
Spending_Value,Non-bank,MAY 2015,4976.58,e-Money
Cards_Account,Bank,JUN 2015,1.63,e-Money
Cards_Account,Non-bank,JUN 2015,26.46,e-Money
Topup_Value,Bank,JUN 2015,373.83,e-Money
Topup_Value,Non-bank,JUN 2015,5024.8,e-Money
Spending_Value,Bank,JUN 2015,366.66,e-Money
Spending_Value,Non-bank,JUN 2015,4997.8,e-Money
Cards_Account,Bank,JUL 2015,1.72,e-Money
Cards_Account,Non-bank,JUL 2015,29.89,e-Money
Topup_Value,Bank,JUL 2015,370.14,e-Money
Topup_Value,Non-bank,JUL 2015,5557.06,e-Money
Spending_Value,Bank,JUL 2015,379.71,e-Money
Spending_Value,Non-bank,JUL 2015,5490.34,e-Money
Cards_Account,Bank,AUG 2015,1.8,e-Money
Cards_Account,Non-bank,AUG 2015,27.25,e-Money
Topup_Value,Bank,AUG 2015,350.74,e-Money
Topup_Value,Non-bank,AUG 2015,5818.4,e-Money
Spending_Value,Bank,AUG 2015,377.68,e-Money
Spending_Value,Non-bank,AUG 2015,5862.33,e-Money
Cards_Account,Bank,SEP 2015,1.84,e-Money
Cards_Account,Non-bank,SEP 2015,28.85,e-Money
Topup_Value,Bank,SEP 2015,417.39,e-Money
Topup_Value,Non-bank,SEP 2015,5511.28,e-Money
Spending_Value,Bank,SEP 2015,402.03,e-Money
Spending_Value,Non-bank,SEP 2015,5533.19,e-Money
Cards_Account,Bank,OCT 2015,1.93,e-Money
Cards_Account,Non-bank,OCT 2015,28.5,e-Money
Topup_Value,Bank,OCT 2015,441.8,e-Money
Topup_Value,Non-bank,OCT 2015,5928.39,e-Money
Spending_Value,Bank,OCT 2015,392.75,e-Money
Spending_Value,Non-bank,OCT 2015,5894.96,e-Money
Cards_Account,Bank,NOV 2015,1.97,e-Money
Cards_Account,Non-bank,NOV 2015,28.86,e-Money
Topup_Value,Bank,NOV 2015,420.04,e-Money
Topup_Value,Non-bank,NOV 2015,5232.85,e-Money
Spending_Value,Bank,NOV 2015,388.33,e-Money
Spending_Value,Non-bank,NOV 2015,5279.66,e-Money
