MeasureName,PaymentType,MonthYear,M_Value,TransType
value_b,Cash,NOV 2016,277.0,Bill Pay
value_b,Cheque,NOV 2016,218.0,Bill Pay
value_b,Others,NOV 2016,83.0,Bill Pay
volume_k,Cash,DEC 2016,41678.0,Bill Pay
volume_k,Cheque,DEC 2016,314.0,Bill Pay
volume_k,Others,DEC 2016,523.0,Bill Pay
value_b,Cash,DEC 2016,306.0,Bill Pay
value_b,Cheque,DEC 2016,224.0,Bill Pay
value_b,Others,DEC 2016,78.0,Bill Pay
volume_k,Cash,JAN 2017,40048.0,Bill Pay
volume_k,Cheque,JAN 2017,336.0,Bill Pay
volume_k,Others,JAN 2017,455.0,Bill Pay
value_b,Cash,JAN 2017,309.0,Bill Pay
value_b,Cheque,JAN 2017,221.0,Bill Pay
value_b,Others,JAN 2017,74.0,Bill Pay
volume_k,Cash,FEB 2017,37862.0,Bill Pay
volume_k,Cheque,FEB 2017,301.0,Bill Pay
volume_k,Others,FEB 2017,425.0,Bill Pay
value_b,Cash,FEB 2017,278.0,Bill Pay
value_b,Cheque,FEB 2017,236.0,Bill Pay
value_b,Others,FEB 2017,68.0,Bill Pay
volume_k,Cash,MAR 2017,42607.0,Bill Pay
volume_k,Cheque,MAR 2017,338.0,Bill Pay
volume_k,Others,MAR 2017,483.0,Bill Pay
value_b,Cash,MAR 2017,320.0,Bill Pay
value_b,Cheque,MAR 2017,266.0,Bill Pay
