MeasureName,UsageType,MonthYear,M_Value,TransType
value_m,Purchasing via online channels by credit cards,SEP 2017,2988.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,SEP 2017,1391.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,SEP 2017,858.0,TH-Aboard
volume_k,Cash withdrawal,OCT 2017,246.0,TH-Aboard
volume_k,Cash advance,OCT 2017,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,OCT 2017,1614.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,OCT 2017,1884.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,OCT 2017,1168.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,OCT 2017,774.0,TH-Aboard
value_m,Cash withdrawal,OCT 2017,2399.0,TH-Aboard
value_m,Cash advance,OCT 2017,64.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,OCT 2017,8174.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,OCT 2017,3092.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,OCT 2017,1373.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,OCT 2017,621.0,TH-Aboard
volume_k,Cash withdrawal,NOV 2017,231.0,TH-Aboard
volume_k,Cash advance,NOV 2017,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,NOV 2017,1434.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,NOV 2017,1971.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,NOV 2017,1206.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,NOV 2017,1514.0,TH-Aboard
value_m,Cash withdrawal,NOV 2017,2298.0,TH-Aboard
value_m,Cash advance,NOV 2017,65.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,NOV 2017,7220.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,NOV 2017,3359.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,NOV 2017,1380.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,NOV 2017,1016.0,TH-Aboard
volume_k,Cash withdrawal,DEC 2017,248.0,TH-Aboard
volume_k,Cash advance,DEC 2017,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,DEC 2017,1530.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,DEC 2017,1953.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,DEC 2017,1313.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,DEC 2017,1603.0,TH-Aboard
value_m,Cash withdrawal,DEC 2017,2432.0,TH-Aboard
value_m,Cash advance,DEC 2017,77.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,DEC 2017,7768.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,DEC 2017,3038.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,DEC 2017,1515.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,DEC 2017,1042.0,TH-Aboard
volume_k,Cash withdrawal,JAN 2018,224.0,TH-Aboard
volume_k,Cash advance,JAN 2018,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,JAN 2018,1597.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,JAN 2018,2052.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,JAN 2018,1358.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,JAN 2018,1743.0,TH-Aboard
value_m,Cash withdrawal,JAN 2018,2224.0,TH-Aboard
value_m,Cash advance,JAN 2018,66.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,JAN 2018,7944.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,JAN 2018,3580.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,JAN 2018,1556.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,JAN 2018,1143.0,TH-Aboard
volume_k,Cash withdrawal,FEB 2018,195.0,TH-Aboard
volume_k,Cash advance,FEB 2018,6.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,FEB 2018,1339.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,FEB 2018,1860.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,FEB 2018,1259.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,FEB 2018,1487.0,TH-Aboard
value_m,Cash withdrawal,FEB 2018,2026.0,TH-Aboard
value_m,Cash advance,FEB 2018,60.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,FEB 2018,6063.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,FEB 2018,3167.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,FEB 2018,1357.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,FEB 2018,946.0,TH-Aboard
volume_k,Cash withdrawal,MAR 2018,243.0,TH-Aboard
volume_k,Cash advance,MAR 2018,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,MAR 2018,1701.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,MAR 2018,2259.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,MAR 2018,1501.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,MAR 2018,2078.0,TH-Aboard
value_m,Cash withdrawal,MAR 2018,2403.0,TH-Aboard
value_m,Cash advance,MAR 2018,69.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,MAR 2018,8176.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,MAR 2018,3689.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,MAR 2018,1633.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,MAR 2018,1305.0,TH-Aboard
volume_k,Cash withdrawal,APR 2018,256.0,TH-Aboard
volume_k,Cash advance,APR 2018,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,APR 2018,2016.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,APR 2018,2140.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,APR 2018,1564.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,APR 2018,2023.0,TH-Aboard
value_m,Cash withdrawal,APR 2018,2388.0,TH-Aboard
value_m,Cash advance,APR 2018,75.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,APR 2018,10725.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,APR 2018,3339.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,APR 2018,1610.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,APR 2018,1228.0,TH-Aboard
volume_k,Cash withdrawal,MAY 2018,256.0,TH-Aboard
volume_k,Cash advance,MAY 2018,7.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,MAY 2018,1748.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,MAY 2018,2083.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,MAY 2018,1556.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,MAY 2018,2052.0,TH-Aboard
value_m,Cash withdrawal,MAY 2018,2476.0,TH-Aboard
value_m,Cash advance,MAY 2018,70.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,MAY 2018,8611.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,MAY 2018,3570.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,MAY 2018,1687.0,TH-Aboard
