PaymentType,SystemType,ChannelType,MonthYear,M_Value,MeasureName,TransType
e-Payments,e-Money,,FEB 2011,24663.0,volume_k,Transactions processed
Cheque,Inhouse,,MAR 2011,3987.0,volume_k,Transactions processed
Cheque,Interbank,,MAR 2011,7150.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,MAR 2011,231.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,MAR 2011,14097.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,MAR 2011,7492.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),MAR 2011,2272.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,MAR 2011,8382.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,MAR 2011,1025.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,MAR 2011,880.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,MAR 2011,17032.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,MAR 2011,9864.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,MAR 2011,2031.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,MAR 2011,23207.0,volume_k,Transactions processed
e-Payments,e-Money,,MAR 2011,27506.0,volume_k,Transactions processed
Cheque,Inhouse,,APR 2011,3286.0,volume_k,Transactions processed
Cheque,Interbank,,APR 2011,5684.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,APR 2011,193.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,APR 2011,13569.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,APR 2011,6452.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),APR 2011,2340.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,APR 2011,6988.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,APR 2011,1067.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,APR 2011,719.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,APR 2011,15530.0,volume_k,Transactions processed
