SystemType,ChannelType,MonthYear,M_Value,TransType,MeasureName
EFTPOS Terminal,Debit card,SEP 2017,295.0,Payment cards,value
ATM,ATM card,SEP 2017,6108.0,Payment cards,value
ATM,Debit card,SEP 2017,11031.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2017,5898.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2017,303.0,Payment cards,value
ATM,ATM card,OCT 2017,6142.0,Payment cards,value
ATM,Debit card,OCT 2017,10989.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2017,6395.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2017,315.0,Payment cards,value
ATM,ATM card,NOV 2017,5972.0,Payment cards,value
ATM,Debit card,NOV 2017,10891.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2017,7420.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2017,358.0,Payment cards,value
ATM,ATM card,DEC 2017,7060.0,Payment cards,value
ATM,Debit card,DEC 2017,12639.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2018,6423.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2018,361.0,Payment cards,value
ATM,ATM card,JAN 2018,6219.0,Payment cards,value
ATM,Debit card,JAN 2018,10976.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2018,5797.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2018,318.0,Payment cards,value
ATM,ATM card,FEB 2018,6040.0,Payment cards,value
ATM,Debit card,FEB 2018,10541.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2018,6413.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2018,350.0,Payment cards,value
ATM,ATM card,MAR 2018,6492.0,Payment cards,value
ATM,Debit card,MAR 2018,11553.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2018,6023.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2018,317.0,Payment cards,value
ATM,ATM card,APR 2018,5900.0,Payment cards,value
ATM,Debit card,APR 2018,10309.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2018,5989.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2018,322.0,Payment cards,value
ATM,ATM card,MAY 2018,5953.0,Payment cards,value
ATM,Debit card,MAY 2018,10421.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2018,5937.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2018,315.0,Payment cards,value
ATM,ATM card,JUN 2018,5643.0,Payment cards,value
ATM,Debit card,JUN 2018,9993.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2018,6088.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2018,338.0,Payment cards,value
ATM,ATM card,JUL 2018,5722.0,Payment cards,value
ATM,Debit card,JUL 2018,10025.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2018,6016.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2018,322.0,Payment cards,value
ATM,ATM card,AUG 2018,5538.0,Payment cards,value
ATM,Debit card,AUG 2018,9785.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2018,5689.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2018,294.0,Payment cards,value
ATM,ATM card,SEP 2018,5356.0,Payment cards,value
ATM,Debit card,SEP 2018,9470.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2018,6183.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2018,306.0,Payment cards,value
ATM,ATM card,OCT 2018,5330.0,Payment cards,value
ATM,Debit card,OCT 2018,10214.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2018,6172.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2018,301.0,Payment cards,value
ATM,ATM card,NOV 2018,5102.0,Payment cards,value
ATM,Debit card,NOV 2018,9949.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2018,7191.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2018,345.0,Payment cards,value
